,date,open,close,high,low,amount,pcnt,pcnt_1d,pcnt_5d,pcnt_10d,pcnt_20d,pcnt_60d,pcnt_120d,pcnt_240d,max_price,min_price,max_price_500d,min_price_500d
0,2021-02-04,0.98,0.968,0.991,0.951,1587134.0,,4.132231404958682,4.132231404958682,4.132231404958682,4.132231404958682,4.132231404958682,4.132231404958682,4.132231404958682,0.991,0.951,0.991,0.951
1,2021-02-05,0.975,0.953,0.993,0.949,1929955.0,-1.573976915005248,4.616998950682061,4.616998950682061,4.616998950682061,4.616998950682061,4.616998950682061,4.616998950682061,4.616998950682061,0.993,0.949,0.993,0.949
2,2021-02-08,0.951,0.962,0.963,0.92,1181278.0,0.9355509355509365,7.588357588357583,7.588357588357583,7.588357588357583,7.588357588357583,7.588357588357583,7.588357588357583,7.588357588357583,0.993,0.92,0.993,0.92
3,2021-02-09,0.962,0.997,0.999,0.962,1441479.0,3.510531594784356,7.923771313941821,7.923771313941821,7.923771313941821,7.923771313941821,7.923771313941821,7.923771313941821,7.923771313941821,0.999,0.92,0.999,0.92
4,2021-02-10,1.0,1.015,1.02,0.989,2734521.64,1.7733990147783159,5.71428571428572,9.852216748768472,9.852216748768472,9.852216748768472,9.852216748768472,9.852216748768472,9.852216748768472,1.02,0.92,1.02,0.92
5,2021-02-18,1.045,1.005,1.047,0.992,1812204.18,-0.9950248756218916,5.77114427860696,12.636815920398,12.636815920398,12.636815920398,12.636815920398,12.636815920398,12.636815920398,1.047,0.92,1.047,0.92
6,2021-02-19,0.993,0.99,1.0,0.96,1857902.0,-1.5151515151515054,8.787878787878785,12.828282828282816,12.828282828282816,12.828282828282816,12.828282828282816,12.828282828282816,12.828282828282816,1.047,0.92,1.047,0.92
7,2021-02-22,0.988,0.971,1.01,0.971,1637359.0,-1.9567456230690026,5.149330587023691,13.079299691040152,13.079299691040152,13.079299691040152,13.079299691040152,13.079299691040152,13.079299691040152,1.047,0.92,1.047,0.92
8,2021-02-23,0.97,0.965,0.975,0.948,1119688.0,-0.6217616580310886,6.424870466321249,10.25906735751295,13.160621761658021,13.160621761658021,13.160621761658021,13.160621761658021,13.160621761658021,1.047,0.92,1.047,0.92
9,2021-02-24,0.961,0.918,0.967,0.907,2682099.0,-5.119825708060994,7.407407407407401,15.250544662309357,15.250544662309357,15.250544662309357,15.250544662309357,15.250544662309357,15.250544662309357,1.047,0.907,1.047,0.907
10,2021-02-25,0.93,0.909,0.936,0.903,1282909.0,-0.990099009900991,7.040704070407035,15.84158415841583,15.84158415841583,15.84158415841583,15.84158415841583,15.84158415841583,15.84158415841583,1.047,0.903,1.047,0.903
11,2021-02-26,0.893,0.893,0.899,0.87,1335074.0,-1.7917133258678626,7.390817469204934,15.677491601343785,19.820828667413206,19.820828667413206,19.820828667413206,19.820828667413206,19.820828667413206,1.047,0.87,1.047,0.87
12,2021-03-01,0.902,0.923,0.928,0.902,1076167.0,3.2502708559046614,6.283856988082345,15.167930660888407,19.17659804983748,19.17659804983748,19.17659804983748,19.17659804983748,19.17659804983748,1.047,0.87,1.047,0.87
13,2021-03-02,0.93,0.92,0.935,0.908,1075153.0,-0.3260869565217394,3.5869565217391335,11.413043478260867,19.2391304347826,19.2391304347826,19.2391304347826,19.2391304347826,19.2391304347826,1.047,0.87,1.047,0.87
14,2021-03-03,0.915,0.922,0.922,0.899,902242.0,0.21691973969631254,3.904555314533626,10.520607375271146,19.197396963123637,19.197396963123637,19.197396963123637,19.197396963123637,19.197396963123637,1.047,0.87,1.047,0.87
15,2021-03-04,0.915,0.862,0.915,0.858,2884824.0,-6.96055684454757,7.424593967517408,9.048723897911842,21.92575406032482,21.92575406032482,21.92575406032482,21.92575406032482,21.92575406032482,1.047,0.858,1.047,0.858
16,2021-03-05,0.842,0.861,0.87,0.834,1118466.0,-0.11614401858304309,9.40766550522649,11.730545876887351,20.44134727061557,24.73867595818815,24.73867595818815,24.73867595818815,24.73867595818815,1.047,0.834,1.047,0.834
17,2021-03-08,0.864,0.814,0.87,0.813,1383493.0,-5.773955773955779,7.002457002457009,14.987714987715,24.20147420147421,28.746928746928745,28.746928746928745,28.746928746928745,28.746928746928745,1.047,0.813,1.047,0.813
18,2021-03-09,0.812,0.797,0.825,0.775,1237786.0,-2.132998745294844,11.919698870765366,20.075282308657467,25.094102885821822,34.12797992471768,34.12797992471768,34.12797992471768,34.12797992471768,1.047,0.775,1.047,0.775
19,2021-03-10,0.818,0.808,0.827,0.804,930252.0,1.3613861386138624,6.435643564356427,18.193069306930695,23.762376237623755,33.66336633663365,33.66336633663365,33.66336633663365,33.66336633663365,1.047,0.775,1.047,0.775
20,2021-03-11,0.81,0.836,0.839,0.805,1249107.0,3.349282296650707,4.186602870813387,16.74641148325359,19.25837320574163,32.53588516746411,32.53588516746411,32.53588516746411,32.53588516746411,1.047,0.775,1.047,0.775
21,2021-03-12,0.843,0.849,0.855,0.831,1051160.0,1.5312131919905785,5.889281507656059,11.189634864546523,18.845700824499414,32.037691401648985,32.037691401648985,32.037691401648985,32.037691401648985,1.047,0.775,1.047,0.775
22,2021-03-15,0.849,0.818,0.85,0.808,965807.0,-3.789731051344747,5.745721271393635,11.613691931540341,19.559902200489002,33.25183374083129,33.25183374083129,33.25183374083129,33.25183374083129,1.047,0.775,1.047,0.775
23,2021-03-16,0.816,0.82,0.826,0.804,645402.0,0.24390243902439046,5.609756097560967,9.756097560975606,19.512195121951226,33.17073170731707,33.17073170731707,33.17073170731707,33.17073170731707,1.047,0.775,1.047,0.775
24,2021-03-17,0.819,0.833,0.835,0.803,746144.0,1.5606242496998814,3.8415366146458485,6.242496998799512,17.647058823529417,32.65306122448979,32.65306122448979,32.65306122448979,32.65306122448979,1.047,0.775,1.047,0.775
25,2021-03-18,0.833,0.843,0.846,0.832,637039.0,1.1862396204033225,5.1008303677342735,6.168446026097264,16.607354685646502,32.26571767497033,32.26571767497033,32.26571767497033,32.26571767497033,1.047,0.775,1.047,0.775
26,2021-03-19,0.825,0.817,0.831,0.81,822718.0,-3.182374541003675,4.406364749081998,6.364749082007336,11.627906976744184,28.76376988984088,33.29253365973071,33.29253365973071,33.29253365973071,1.047,0.775,1.047,0.775
27,2021-03-22,0.815,0.829,0.835,0.815,651115.0,1.4475271411338977,3.01568154402894,5.669481302774419,11.45958986731001,28.347406513872137,32.81061519903497,32.81061519903497,32.81061519903497,1.047,0.775,1.047,0.775
28,2021-03-23,0.829,0.805,0.829,0.798,1254544.0,-2.981366459627318,4.596273291925456,5.962732919254649,9.937888198757758,24.844720496894404,33.78881987577638,33.78881987577638,33.78881987577638,1.047,0.775,1.047,0.775
