,date,open,close,high,low,amount,pcnt,pcnt_1d,pcnt_5d,pcnt_10d,pcnt_20d,pcnt_60d,pcnt_120d,pcnt_240d,max_price,min_price
0,2017-09-25,0.982,0.95,0.982,0.95,761246.0,,3.3684210526315823,3.3684210526315823,3.3684210526315823,3.3684210526315823,3.3684210526315823,3.3684210526315823,3.3684210526315823,0.982,0.95
1,2017-09-26,0.953,0.956,0.962,0.95,208959.0,0.6276150627615069,3.347280334728037,3.347280334728037,3.347280334728037,3.347280334728037,3.347280334728037,3.347280334728037,3.347280334728037,0.982,0.95
2,2017-09-27,0.956,0.963,0.966,0.956,87335.0,0.7268951194184845,1.661474558670822,3.322949117341644,3.322949117341644,3.322949117341644,3.322949117341644,3.322949117341644,3.322949117341644,0.982,0.95
3,2017-09-28,0.955,0.946,0.962,0.945,69401.0,-1.797040169133194,2.2198731501057103,3.911205073995775,3.911205073995775,3.911205073995775,3.911205073995775,3.911205073995775,3.911205073995775,0.982,0.945
4,2017-09-29,0.946,0.949,0.956,0.946,89492.0,0.3161222339304534,1.7913593256059026,3.898840885142259,3.898840885142259,3.898840885142259,3.898840885142259,3.898840885142259,3.898840885142259,0.982,0.945
5,2017-10-09,0.962,0.96,0.999,0.959,64244.0,1.1458333333333344,5.520833333333338,5.625000000000005,5.625000000000005,5.625000000000005,5.625000000000005,5.625000000000005,5.625000000000005,0.999,0.945
6,2017-10-10,0.959,0.961,0.961,0.953,38396.0,0.10405827263267439,4.786680541103022,5.619146722164417,5.619146722164417,5.619146722164417,5.619146722164417,5.619146722164417,5.619146722164417,0.999,0.945
7,2017-10-11,0.961,0.958,0.964,0.957,58307.0,-0.31315240083507334,1.1482254697286023,5.63674321503132,5.63674321503132,5.63674321503132,5.63674321503132,5.63674321503132,5.63674321503132,0.999,0.945
8,2017-10-12,0.956,0.954,0.959,0.95,31347.0,-0.4192872117400423,1.4675052410901481,5.660377358490571,5.660377358490571,5.660377358490571,5.660377358490571,5.660377358490571,5.660377358490571,0.999,0.945
9,2017-10-13,0.957,0.954,0.958,0.953,25706.0,0.0,0.9433962264150951,5.555555555555561,5.660377358490571,5.660377358490571,5.660377358490571,5.660377358490571,5.660377358490571,0.999,0.945
10,2017-10-16,0.955,0.941,0.955,0.941,47056.0,-1.381509032943678,1.806588735387887,6.163655685441026,6.163655685441026,6.163655685441026,6.163655685441026,6.163655685441026,6.163655685441026,0.999,0.941
11,2017-10-17,0.942,0.942,0.947,0.939,56639.0,0.10615711252653938,1.69851380042463,2.6539278131634845,6.369426751592362,6.369426751592362,6.369426751592362,6.369426751592362,6.369426751592362,0.999,0.939
12,2017-10-18,0.942,0.943,0.946,0.941,17959.0,0.10604453870625673,0.8483563096500538,2.651113467656418,6.362672322375404,6.362672322375404,6.362672322375404,6.362672322375404,6.362672322375404,0.999,0.939
13,2017-10-19,0.941,0.933,0.941,0.931,30761.0,-1.0718113612004179,1.6077170418006326,3.001071811361191,7.28831725616291,7.28831725616291,7.28831725616291,7.28831725616291,7.28831725616291,0.999,0.931
