,date,open,close,high,low,amount,pcnt,pcnt_1d,pcnt_5d,pcnt_10d,pcnt_20d,pcnt_60d,pcnt_120d,pcnt_240d,max_price,min_price
0,2016-08-08,0.987,1.017,1.02,0.977,2300057.0,,4.228121927236975,4.228121927236975,4.228121927236975,4.228121927236975,4.228121927236975,4.228121927236975,4.228121927236975,1.02,0.977
1,2016-08-09,1.012,1.016,1.017,1.01,474880.0,-0.09842519685038285,4.232283464566933,4.232283464566933,4.232283464566933,4.232283464566933,4.232283464566933,4.232283464566933,4.232283464566933,1.02,0.977
2,2016-08-10,1.015,1.013,1.023,1.011,361996.0,-0.2961500493583528,1.2833168805528037,4.540967423494564,4.540967423494564,4.540967423494564,4.540967423494564,4.540967423494564,4.540967423494564,1.023,0.977
3,2016-08-11,1.013,0.996,1.013,0.995,220937.0,-1.7068273092369382,2.81124497991967,4.618473895582322,4.618473895582322,4.618473895582322,4.618473895582322,4.618473895582322,4.618473895582322,1.023,0.977
4,2016-08-12,0.998,1.001,1.003,0.992,125584.0,0.4995004995004889,2.097902097902089,4.595404595404589,4.595404595404589,4.595404595404589,4.595404595404589,4.595404595404589,4.595404595404589,1.023,0.977
5,2016-08-15,1.003,1.022,1.028,1.0,659481.0,2.054794520547958,3.5225048923679094,4.990215264187872,4.990215264187872,4.990215264187872,4.990215264187872,4.990215264187872,4.990215264187872,1.028,0.977
6,2016-08-16,1.025,1.029,1.035,1.025,279838.0,0.6802721088435273,3.4013605442176797,4.178814382896009,5.636540330417876,5.636540330417876,5.636540330417876,5.636540330417876,5.636540330417876,1.035,0.977
7,2016-08-17,1.033,1.039,1.049,1.024,517126.0,0.9624639076034659,2.406159769008654,5.486044273339744,6.929740134744942,6.929740134744942,6.929740134744942,6.929740134744942,6.929740134744942,1.049,0.977
8,2016-08-18,1.04,1.033,1.04,1.027,207218.0,-0.5808325266214913,2.4201355275895367,5.517909002904157,6.969990319457886,6.969990319457886,6.969990319457886,6.969990319457886,6.969990319457886,1.049,0.977
9,2016-08-19,1.034,1.031,1.035,1.024,208889.0,-0.19398642095053367,1.5518913676042694,5.528612997090198,6.9835111542192,6.9835111542192,6.9835111542192,6.9835111542192,6.9835111542192,1.049,0.977
10,2016-08-22,1.031,1.005,1.032,1.002,319649.0,-2.587064676616918,3.283582089552231,4.875621890547258,7.164179104477608,7.164179104477608,7.164179104477608,7.164179104477608,7.164179104477608,1.049,0.977
11,2016-08-23,1.006,1.01,1.016,1.004,136778.0,0.4950495049505065,2.970297029702973,4.653465346534647,5.643564356435638,7.128712871287124,7.128712871287124,7.128712871287124,7.128712871287124,1.049,0.977
12,2016-08-24,1.01,1.018,1.025,1.01,281687.0,0.7858546168958749,2.0628683693516607,4.616895874263254,5.599214145383098,7.072691552062864,7.072691552062864,7.072691552062864,7.072691552062864,1.049,0.977
13,2016-08-25,1.01,1.01,1.015,0.998,149523.0,-0.7920792079207928,2.6732673267326645,4.158415841584162,5.643564356435638,7.128712871287124,7.128712871287124,7.128712871287124,7.128712871287124,1.049,0.977
14,2016-08-26,1.01,1.012,1.021,1.01,161435.0,0.19762845849802388,2.2727272727272636,3.656126482213431,5.63241106719367,7.114624505928849,7.114624505928849,7.114624505928849,7.114624505928849,1.049,0.977
15,2016-08-29,1.021,1.018,1.03,1.015,249004.0,0.5893909626719063,1.9646365422396874,3.3398821218074684,5.009823182711192,7.072691552062864,7.072691552062864,7.072691552062864,7.072691552062864,1.049,0.977
16,2016-08-30,1.018,1.027,1.034,1.015,301808.0,0.8763388510223853,1.850048685491736,3.505355404089585,4.965920155793568,7.010710808179159,7.010710808179159,7.010710808179159,7.010710808179159,1.049,0.977
17,2016-08-31,1.026,1.023,1.026,1.014,154971.0,-0.39100684261974616,1.9550342130987313,3.5190615835777157,4.985337243401753,7.038123167155422,7.038123167155422,7.038123167155422,7.038123167155422,1.049,0.977
18,2016-09-01,1.022,1.013,1.025,1.012,246948.0,-0.9871668311944729,1.382033563672262,3.553800592300102,4.146100691016786,7.107601184600193,7.107601184600193,7.107601184600193,7.107601184600193,1.049,0.977
19,2016-09-02,1.012,1.001,1.012,0.996,318647.0,-1.1988011988012,2.8971028971028887,3.7962037962038,3.896103896103889,7.192807192807189,7.192807192807189,7.192807192807189,7.192807192807189,1.049,0.977
20,2016-09-05,1.003,1.003,1.008,0.999,199581.0,0.19940179461615173,1.5952143569292139,3.7886340977068835,3.7886340977068835,7.178464606181452,7.178464606181452,7.178464606181452,7.178464606181452,1.049,0.977
21,2016-09-06,1.003,1.012,1.014,0.994,221026.0,0.8893280632411185,1.9762845849802388,3.9525691699604777,3.9525691699604777,5.63241106719367,7.114624505928849,7.114624505928849,7.114624505928849,1.049,0.977
22,2016-09-07,1.012,1.019,1.026,1.012,452522.0,0.6869479882237385,3.140333660451426,3.140333660451426,3.9254170755642823,5.5937193326790915,7.065750736015699,7.065750736015699,7.065750736015699,1.049,0.977
23,2016-09-08,1.015,1.02,1.022,1.015,145515.0,0.09803921568628549,1.3725490196078443,3.137254901960787,3.921568627450984,5.588235294117641,7.05882352941176,7.05882352941176,7.05882352941176,1.049,0.977
24,2016-09-09,1.02,1.018,1.026,1.016,126196.0,-0.19646365422396872,1.0805500982318388,3.1434184675834995,3.929273084479375,5.599214145383098,7.072691552062864,7.072691552062864,7.072691552062864,1.049,0.977
25,2016-09-12,1.014,0.992,1.014,0.987,488138.0,-2.620967741935486,3.931451612903229,3.931451612903229,4.7379032258064555,6.249999999999995,7.258064516129028,7.258064516129028,7.258064516129028,1.049,0.977
26,2016-09-13,0.992,0.994,0.996,0.986,116945.0,0.20120724346076477,2.8169014084507067,4.024144869215295,4.828973843058355,6.338028169014079,7.24346076458752,7.24346076458752,7.24346076458752,1.049,0.977
27,2016-09-14,0.991,0.987,0.991,0.984,139525.0,-0.7092198581560291,1.2158054711246211,4.255319148936175,4.255319148936175,6.585612968591686,7.294832826747716,7.294832826747716,7.294832826747716,1.049,0.977
28,2016-09-19,0.989,0.992,0.994,0.988,120284.0,0.5040322580645166,1.0080645161290331,4.2338709677419395,4.2338709677419395,5.645161290322586,7.258064516129028,7.258064516129028,7.258064516129028,1.049,0.977
