date,open,close,high,low,amount,pcnt,pcnt_real_time
2012-05-11,1.02,1.019,1.036,1.019,4555271.0,,1.6683022571148312
2012-05-14,1.021,1.003,1.029,1.002,503370.0,-1.5952143569292139,3.3898305084745797
2012-05-15,1.0,0.999,1.001,0.986,118501.0,-0.40040040040038966,4.304304304304297
2012-05-16,0.995,0.99,0.999,0.99,216044.0,-0.90909090909091,1.5151515151515054
2012-05-17,0.993,1.001,1.004,0.985,140484.0,1.098901098901089,1.8981018981019
2012-05-18,1.0,0.988,1.002,0.988,177140.0,-1.3157894736842004,1.923076923076925
2012-05-21,0.989,1.0,1.012,0.984,150806.0,1.200000000000001,2.8000000000000025
2012-05-22,1.004,1.013,1.014,1.004,113820.0,1.2833168805528037,2.9615004935834186
2012-05-23,1.005,1.0,1.012,0.992,50675.0,-1.29999999999999,2.200000000000002
2012-05-24,0.992,0.999,1.003,0.992,47283.0,-0.10010010010010019,2.0020020020020035
2012-05-25,0.996,0.992,0.999,0.985,86103.0,-0.7056451612903233,1.8145161290322485
2012-05-28,0.99,0.995,1.0,0.97,121856.0,0.3015075376884425,3.015075376884425
2012-05-29,0.986,1.02,1.025,0.986,420652.0,2.4509803921568647,5.392156862745092
2012-05-30,1.019,1.011,1.02,1.01,82558.0,-0.890207715133543,3.857566765578628
2012-05-31,1.003,1.009,1.013,1.002,27412.0,-0.19821605550049576,1.7839444995044615
2012-06-01,1.011,1.01,1.02,1.007,92103.0,0.09900990099011009,1.7821782178217838
2012-06-04,0.997,0.988,0.998,0.987,58451.0,-2.2267206477732815,3.3400809716599222
2012-06-05,0.983,0.98,0.997,0.976,53312.0,-0.8163265306122457,2.2448979591836755
2012-06-06,0.977,0.978,0.989,0.976,63831.0,-0.20449897750511267,2.147239263803683
2012-06-07,0.987,0.971,0.995,0.97,12008.0,-0.7209062821833168,2.5746652935118455
2012-06-08,0.98,0.961,0.986,0.958,15547.0,-1.0405827263267438,3.8501560874089527
2012-06-11,0.961,0.976,0.98,0.96,19943.0,1.5368852459016407,2.868852459016396
2012-06-12,0.963,0.965,0.975,0.963,23350.0,-1.1398963730569958,2.072538860103629
2012-06-13,0.967,0.972,0.972,0.963,16339.0,0.7201646090534986,1.234567901234569
2012-06-14,0.971,0.968,0.971,0.964,19690.0,-0.4132231404958681,0.9297520661157034
2012-06-15,0.966,0.963,0.968,0.95,31473.0,-0.5192107995846318,2.1806853582554537
2012-06-18,0.956,0.971,0.979,0.956,76581.0,0.8238928939237907,2.9866117404737413
2012-06-19,0.971,0.958,0.971,0.955,7243.0,-1.3569937369519847,2.5052192066805867
2012-06-20,0.958,0.959,0.966,0.958,40070.0,0.10427528675703868,1.6684045881126188
2012-06-21,0.962,0.943,0.962,0.935,27457.0,-1.6967126193001076,3.287380699893947
2012-06-25,0.928,0.906,0.936,0.904,27739.0,-4.083885209713015,6.401766004415005
2012-06-26,0.907,0.901,0.907,0.899,11676.0,-0.5549389567147619,4.106548279689238
2012-06-27,0.903,0.903,0.912,0.899,16958.0,0.22148394241417518,1.4396456256921386
2012-06-28,0.901,0.887,0.905,0.886,24163.0,-1.803833145434049,2.9312288613303297
2012-06-29,0.887,0.895,0.897,0.873,56212.0,0.8938547486033528,3.575418994413411
2012-07-02,0.896,0.896,0.908,0.896,34843.0,0.11160714285714296,3.9062500000000036
2012-07-03,0.892,0.896,0.905,0.89,7981.0,0.0,2.0089285714285734
2012-07-04,0.909,0.903,0.911,0.896,14397.0,0.7751937984496131,2.325581395348839
2012-07-05,0.891,0.883,0.891,0.88,30978.0,-2.265005662514158,3.5107587768969455
2012-07-06,0.89,0.902,0.906,0.877,56575.0,2.106430155210645,3.2150776053215107
2012-07-09,0.896,0.877,0.896,0.876,37856.0,-2.850627137970356,3.420752565564427
2012-07-10,0.871,0.868,0.877,0.866,21948.0,-1.0368663594470056,3.456221198156685
2012-07-11,0.872,0.875,0.878,0.866,25564.0,0.8000000000000007,1.3714285714285726
2012-07-12,0.875,0.902,0.91,0.865,106598.0,2.9933481152993373,4.988913525498895
2012-07-13,0.895,0.899,0.91,0.892,19149.0,-0.3337041156840937,5.005561735261406
2012-07-16,0.896,0.88,0.896,0.879,30588.0,-2.159090909090911,3.522727272727276
2012-07-17,0.882,0.889,0.891,0.879,39988.0,1.0123734533183362,1.9122609673790794
2012-07-18,0.888,0.893,0.895,0.878,122850.0,0.44792833146696565,1.9036954087346043
2012-07-19,0.893,0.898,0.907,0.893,40063.0,0.5567928730512255,3.2293986636971077
2012-07-20,0.898,0.891,0.899,0.888,10522.0,-0.785634118967453,2.132435465768801
2012-07-23,0.881,0.88,0.886,0.872,83458.0,-1.250000000000001,3.068181818181821
2012-07-24,0.875,0.879,0.886,0.865,14659.0,-0.11376564277588179,2.3890784982935176
2012-07-25,0.876,0.87,0.88,0.87,11024.0,-1.0344827586206906,2.413793103448278
2012-07-26,0.874,0.87,0.882,0.869,61998.0,0.0,1.4942528735632197
2012-07-27,0.867,0.875,0.879,0.867,24037.0,0.571428571428572,1.7142857142857157
2012-07-30,0.879,0.869,0.881,0.863,23670.0,-0.6904487917146152,2.0713463751438455
2012-07-31,0.867,0.857,0.867,0.85,24998.0,-1.4002333722287061,3.617269544924157
2012-08-01,0.854,0.864,0.867,0.852,12944.0,0.8101851851851858,1.9675925925925943
